supplier_name,industry
京东方华灿光电股份有限公司,半导体
中集车辆(集团)股份有限公司,汽车零部件
上海天永智能装备股份有限公司,机械设备
深圳科瑞技术股份有限公司,工业自动化
南京高华科技股份有限公司,仪器仪表与传感器
中辰电缆股份有限公司,电气设备
凤凰光学股份有限公司,光伏、储能与新能源设备
中钨高新材料股份有限公司,金属与基础材料
中盐安徽红四方肥业股份有限公司,化工与新材料
厦门唯科模塑科技股份有限公司,橡胶与塑料制品
威海光威复合材料股份有限公司,纺织与工业用布
山东新华医疗器械股份有限公司,医疗器械
上海谊众药业股份有限公司,医药与原料药制造
山鹰国际控股股份公司,包装、纸制品与印刷材料
中国振华(集团)科技股份有限公司,电子元器件
优德精密工业(昆山)股份有限公司,半导体
亚普汽车部件股份有限公司,汽车零部件
上海威派格智慧水务股份有限公司,机械设备
深圳麦格米特电气股份有限公司,工业自动化
合肥埃科光电科技股份有限公司,仪器仪表与传感器
久盛电气股份有限公司,电气设备
力佳电源科技(湖北)股份有限公司,光伏、储能与新能源设备
中铁装配式建筑股份有限公司,金属与基础材料
中粮生物科技股份有限公司,化工与新材料
厦门建霖智慧家居股份有限公司,橡胶与塑料制品
孚日集团股份有限公司,纺织与工业用布
广东宝莱特医用科技股份有限公司,医疗器械
上海赛伦生物技术股份有限公司,医药与原料药制造
岳阳林纸股份有限公司,包装、纸制品与印刷材料
中国船舶重工集团海洋防务与信息对抗股份有限公司,电子元器件
佛山市联动科技股份有限公司,半导体
众泰汽车股份有限公司,汽车零部件
上海巴兰仕汽车检测设备股份有限公司,机械设备
爱仕达股份有限公司,工业自动化
四川安控科技股份有限公司,仪器仪表与传感器
九阳股份有限公司,电气设备
北京亿华通科技股份有限公司,光伏、储能与新能源设备
云南临沧鑫圆锗业股份有限公司,金属与基础材料
中自科技股份有限公司,化工与新材料
厦门松霖科技股份有限公司,橡胶与塑料制品
宁波先锋新材料股份有限公司,纺织与工业用布
广州维力医疗器械股份有限公司,医疗器械
上海透景生命科技股份有限公司,医药与原料药制造
广东冠豪高新技术股份有限公司,包装、纸制品与印刷材料
中国长城科技集团股份有限公司,电子元器件
佛山市蓝箭电子股份有限公司,半导体
保定市东利机械制造股份有限公司,汽车零部件
上海振华重工(集团)股份有限公司,机械设备
珠海博杰电子股份有限公司,工业自动化
四方光电股份有限公司,仪器仪表与传感器
伊戈尔电气股份有限公司,电气设备
北京合康新能科技股份有限公司,光伏、储能与新能源设备
云南省贵金属新材料控股集团股份有限公司,金属与基础材料
